Date,Name,Year,Letterboxd URI
2025-11-17,Frankenstein,2025,https://boxd.it/Ecsg
2025-12-09,The Baronesses,2025,https://boxd.it/LP9m
2025-12-21,Resurrection,2025,https://boxd.it/x9DG
2025-12-22,The Blue Trail,2025,https://boxd.it/IrKi
2025-12-23,The Secret Agent,2025,https://boxd.it/KkUE
2025-12-27,Zootopia 2,2025,https://boxd.it/F0vO
2025-12-27,Train Dreams,2025,https://boxd.it/LdDo
2025-12-27,Be Kind Rewind,2008,https://boxd.it/23Au
2026-01-03,The Last Viking,2025,https://boxd.it/NqyK
2026-01-05,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,https://boxd.it/2ark
2026-01-07,It Ends,2025,https://boxd.it/SBUi
2026-01-11,Dog Man,2025,https://boxd.it/t6Iq
2026-01-11,Father Mother Sister Brother,2025,https://boxd.it/HRoU
2026-01-12,Adolescence,2025,https://boxd.it/TFGw
2026-01-19,28 Years Later: The Bone Temple,2026,https://boxd.it/MwlA
2026-01-23,The Chronology of Water,2025,https://boxd.it/j3pq
